# Simulation 1 (Up to date),,,,,,,
# 819 data points written for 8 variables.,,,,,,,
# Simulation warnings:,,,,,,,
#   Recovery device deployment at high speed (114 m/s),,,,,,,
#,,,,,,,
# Time (s),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​)
# Event IGNITION occurred at t=0 seconds,,,,,,,
# Event LAUNCH occurred at t=0 seconds,,,,,,,
0.01,471.175,8.31E-06,0.596,1.89E-04,0.452,0.023,0.12
0.02,1413.524,0.001,0.592,0.031,0.448,0.023,0.12
0.03,2180.151,0.015,0.576,0.224,0.433,0.023,0.12
# Event LIFTOFF occurred at t=0.04 seconds,,,,,,,
0.04,2224.366,0.044,0.557,0.436,0.414,0.023,0.12
0.05,2190.483,0.084,0.54,0.565,0.397,0.023,0.12
0.06,2156.6,0.132,0.526,0.624,0.383,0.023,0.12
0.07,2124.312,0.187,0.514,0.647,0.371,0.023,0.12
0.08,2117.203,0.247,0.504,0.651,0.361,0.023,0.12
0.09,2118.781,0.312,0.496,0.645,0.352,0.023,0.12
0.1,2120.36,0.381,0.488,0.632,0.345,0.023,0.12
0.11,2121.938,0.452,0.482,0.614,0.338,0.023,0.12
0.12,2123.517,0.527,0.476,0.596,0.333,0.023,0.12
0.13,2125.095,0.605,0.471,0.578,0.327,0.023,0.12
0.14,2126.674,0.687,0.466,0.562,0.323,0.023,0.12
0.15,2128.23,0.772,0.462,0.548,0.318,0.023,0.12
0.159,2129.711,0.855,0.458,0.536,0.315,0.023,0.12
0.167,2131.094,0.941,0.457,0.529,0.314,0.023,0.12
# Event LAUNCHROD occurred at t=0.175 seconds,,,,,,,
0.175,2132.396,1.029,0.457,0.524,0.314,0.023,0.12
0.187,2133.978,1.167,0.457,0.517,0.314,0.023,0.12
0.205,2136.35,1.394,0.457,0.509,0.314,0.023,0.12
0.232,2139.909,1.784,0.458,0.501,0.314,0.024,0.12
0.273,2145.248,2.46,0.458,0.493,0.314,0.024,0.121
0.323,2152.397,3.441,0.458,0.484,0.314,0.024,0.121
0.373,2160.29,4.577,0.458,0.477,0.314,0.024,0.121
0.423,2168.182,5.886,0.458,0.471,0.313,0.024,0.121
0.473,2176.074,7.389,0.459,0.468,0.313,0.024,0.122
0.523,2183.967,9.071,0.459,0.465,0.313,0.024,0.122
0.573,2191.859,10.942,0.459,0.464,0.313,0.024,0.122
0.623,2199.751,13.017,0.46,0.462,0.313,0.024,0.123
0.673,2207.643,15.295,0.46,0.462,0.313,0.024,0.123
0.723,2215.536,17.777,0.461,0.462,0.313,0.024,0.124
0.773,2223.428,20.466,0.461,0.462,0.313,0.024,0.124
0.823,2231.32,23.372,0.462,0.462,0.313,0.024,0.125
0.873,2239.213,26.509,0.462,0.462,0.312,0.024,0.126
0.923,2247.105,29.884,0.463,0.463,0.312,0.024,0.127
0.973,2254.997,33.502,0.464,0.465,0.312,0.024,0.127
1.023,2262.889,37.348,0.464,0.466,0.312,0.024,0.128
1.073,2276.763,41.419,0.465,0.467,0.312,0.025,0.129
1.123,2302.181,45.748,0.466,0.467,0.311,0.025,0.13
1.173,2327.89,50.332,0.467,0.468,0.311,0.025,0.131
1.223,2353.6,55.2,0.468,0.468,0.311,0.025,0.132
1.273,2379.309,60.378,0.469,0.469,0.311,0.025,0.133
1.323,2405.018,65.881,0.47,0.47,0.31,0.025,0.134
1.373,2428.294,71.721,0.471,0.471,0.31,0.025,0.135
1.423,2426.702,77.837,0.472,0.472,0.31,0.025,0.137
1.473,2418.599,84.206,0.473,0.473,0.309,0.026,0.138
1.523,2410.495,90.828,0.474,0.475,0.309,0.026,0.139
1.573,2402.392,97.665,0.476,0.476,0.309,0.026,0.141
1.623,2394.288,104.719,0.477,0.477,0.308,0.026,0.142
1.673,2386.185,111.997,0.478,0.478,0.308,0.026,0.144
1.723,2378.082,119.51,0.479,0.479,0.308,0.026,0.145
1.773,2369.978,127.277,0.481,0.481,0.307,0.027,0.147
1.823,2361.875,135.296,0.482,0.482,0.307,0.027,0.149
